Bond,Sector,Country,Used_Duration,Used_Rating_Score,Used_ZTW
Bond-0,Cbafhzre,BH,4.65,15.0,688.6
Bond-1,Dvirefvsvrq,BH,4.57,7.0,188.8
Bond-2,Dvirefvsvrq,BH,3.35,9.0,243.9
Bond-3,Dvirefvsvrq,BH,5.45,9.0,319.0
Bond-4,Fvanapvny,BH,2.38,6.0,125.4
Bond-5,Fvanapvny,BH,2.3,7.0,158.0
Bond-6,Fvanapvny,BH,2.67,14.0,450.2
Bond-7,Fvanapvny,BH,2.79,5.0,135.6
Bond-8,Fvanapvny,BH,1.38,8.0,239.8
Bond-9,Fvanapvny,BH,4.85,7.0,192.7
Bond-10,Fvanapvny,BH,4.09,7.0,179.5
Bond-11,Fvanapvny,BH,1.33,7.0,126.2
Bond-12,Fvanapvny,BH,2.24,7.0,153.4
Bond-13,Fvanapvny,BH,3.71,15.0,485.0
Bond-14,Fvanapvny,BH,3.7,11.0,298.6
Bond-15,Fvanapvny,BH,2.03,6.0,106.1
Bond-16,Fvanapvny,BH,3.88,14.0,491.6
Bond-17,Fvanapvny,BH,3.23,4.0,123.0
Bond-18,Fvanapvny,BH,1.47,4.0,51.6
Bond-19,Fvanapvny,BH,2.33,4.0,92.8
Bond-20,Fvanapvny,BH,3.1,4.0,118.0
Bond-21,Fvanapvny,BH,1.37,3.0,38.1
Bond-22,Fvanapvny,BH,13.13,3.0,191.8
Bond-23,Fvanapvny,BH,3.17,7.0,179.0
Bond-24,Fvanapvny,BH,3.79,3.0,97.2
Bond-25,Fvanapvny,BH,1.18,3.0,58.2
Bond-26,Fvanapvny,BH,1.52,3.0,55.5
Bond-27,Fvanapvny,BH,2.5,3.0,76.9
Bond-28,Fvanapvny,BH,3.33,3.0,95.2
Bond-29,Fvanapvny,BH,7.76,3.0,135.4
Bond-30,Fvanapvny,BH,6.84,3.0,128.2
Bond-31,Fvanapvny,BH,7.3,3.0,132.0
Bond-32,Fvanapvny,BH,18.01,3.0,201.9
Bond-33,Fvanapvny,BH,2.39,6.0,154.4
Bond-34,Fvanapvny,BH,3.22,8.0,188.6
Bond-35,Fvanapvny,BH,2.38,7.0,135.4
Bond-36,Fvanapvny,BH,2.34,6.0,120.9
Bond-37,Iaqhfgevny,BH,1.72,11.0,474.6
Bond-38,Iaqhfgevny,BH,2.59,11.0,436.5
Bond-39,Iaqhfgevny,BH,1.93,11.0,495.3
Bond-40,Ovy_naq_Gnf,BH,7.77,3.0,134.9
Bond-41,Ovy_naq_Gnf,BH,13.29,3.0,197.6
Bond-42,Ovy_naq_Gnf,BH,1.16,6.0,75.2
Bond-43,Rrny_Efgngr,BH,4.48,8.0,201.1
Bond-44,Rrny_Efgngr,BH,1.4,15.0,866.9
Bond-45,Rrny_Efgngr,BH,2.2,15.0,917.7
Bond-46,Rrny_Efgngr,BH,5.28,11.0,362.1
Bond-47,Rrny_Efgngr,BH,3.36,10.0,310.7
Bond-48,Rrny_Efgngr,BH,3.5,10.0,343.2
Bond-49,Rrny_Efgngr,BH,1.8,11.0,571.3
Bond-50,Rrny_Efgngr,BH,3.26,9.0,245.6
Bond-51,Rrny_Efgngr,BH,4.48,9.0,247.9
Bond-52,Rrny_Efgngr,BH,7.03,9.0,285.8
Bond-53,Rrny_Efgngr,BH,4.54,11.0,611.7
Bond-54,Sbirervta,BH,4.26,3.0,78.2
Bond-55,Sbirervta,BH,1.96,3.0,47.8
Bond-56,Sbirervta,BH,5.1,3.0,87.0
Bond-57,Sbirervta,BH,6.27,3.0,95.5
Bond-58,Sbirervta,BH,8.22,3.0,110.5
Bond-59,Sbirervta,BH,18.49,3.0,173.2
Bond-60,Sbirervta,BH,17.25,3.0,172.3
Bond-61,Sbirervta,BH,4.2,6.0,150.6
Bond-62,Sbirervta,BH,3.69,9.0,145.7
Bond-63,Sbirervta,BH,6.44,9.0,196.0
Bond-64,TMT,BH,3.47,5.0,69.2
Bond-65,Tenafcbeg,BH,2.5,10.0,153.6
Bond-66,Tenafcbeg,BH,5.53,10.0,257.5
Bond-67,Tenafcbeg,BH,6.68,10.0,274.3
Bond-68,Tenafcbeg,BH,7.39,10.0,272.7
Bond-69,Tenafcbeg,BH,7.62,10.0,276.7
Bond-70,Tenafcbeg,BH,10.56,10.0,380.4
Bond-71,Tenafcbeg,BH,15.71,10.0,359.7
Bond-72,Tenafcbeg,BH,8.3,10.0,264.3
Bond-73,Tenafcbeg,BH,14.91,10.0,370.4
Bond-74,Tenafcbeg,BH,4.24,12.0,454.7
Bond-75,Tenafcbeg,BH,2.21,12.0,408.8
Bond-76,Tenafcbeg,BH,3.26,12.0,440.3
Bond-77,Tenafcbeg,BH,1.12,6.0,210.0
Bond-78,Ugvyvgvrf,BH,9.44,7.0,194.7
Bond-79,Ugvyvgvrf,BH,10.03,7.0,213.3
Bond-80,Ugvyvgvrf,BH,4.4,10.0,201.5
Bond-81,Ugvyvgvrf,BH,1.15,4.0,40.1
Bond-82,Ugvyvgvrf,BH,2.18,4.0,86.6
Bond-83,Ugvyvgvrf,BH,3.33,4.0,108.2
Bond-84,Ugvyvgvrf,BH,4.11,4.0,117.8
Bond-85,Ugvyvgvrf,BH,5.08,4.0,122.5
Bond-86,Ugvyvgvrf,BH,7.76,4.0,137.8
Bond-87,Ugvyvgvrf,BH,10.92,4.0,204.2
Bond-88,Fvanapvny,BD,3.61,14.0,845.5
Bond-89,Sbirervta,BD,3.84,13.0,456.7
Bond-90,Sbirervta,BD,7.45,13.0,378.5
Bond-91,Sbirervta,BC,3.69,18.0,1266.0
Bond-92,Sbirervta,BC,5.07,17.0,1197.5
Bond-93,Sbirervta,BC,7.86,17.0,1131.9
Bond-94,Cbafhzre,BJ,5.59,12.0,593.1
Bond-95,Cbafhzre,BJ,2.7,12.0,439.1
Bond-96,Cbafhzre,BJ,2.4,17.0,1108.0
Bond-97,Gbireazrag,BJ,7.8,17.0,1415.7
Bond-98,Gbireazrag,BJ,4.02,18.0,1507.0
Bond-99,Gbireazrag,BJ,4.41,18.0,1930.4
Bond-100,Ovy_naq_Gnf,BJ,2.95,17.0,1193.6
Bond-101,Ovy_naq_Gnf,BJ,1.98,15.0,937.6
Bond-102,Ovy_naq_Gnf,BJ,0.42,19.0,2472.2
Bond-103,Ovy_naq_Gnf,BJ,1.96,19.0,2143.4
Bond-104,Ovy_naq_Gnf,BJ,3.48,19.0,1776.6
Bond-105,Ovy_naq_Gnf,BJ,4.7,19.0,1508.0
Bond-106,Ovy_naq_Gnf,BJ,5.2,19.0,1455.8
Bond-107,Ovy_naq_Gnf,BJ,8.39,19.0,1088.7
Bond-108,Rrny_Efgngr,BJ,1.99,18.0,2422.9
Bond-109,Sbirervta,BJ,5.87,17.0,1615.7
Bond-110,Sbirervta,BJ,8.91,17.0,1325.1
Bond-111,Sbirervta,BJ,8.71,17.0,1316.8
Bond-112,Sbirervta,BJ,8.44,17.0,1448.7
Bond-113,Sbirervta,BJ,5.55,17.0,1545.0
Bond-114,TMT,BJ,0.64,17.0,1531.6
Bond-115,TMT,BJ,4.28,16.0,1177.3
Bond-116,TMT,BJ,3.7,16.0,1352.6
Bond-117,Tenafcbeg,BJ,2.06,18.0,2839.1
Bond-118,Ugvyvgvrf,BJ,2.59,19.0,2096.1
Bond-119,Ugvyvgvrf,BJ,1.71,18.0,4384.3
Bond-120,Ugvyvgvrf,BJ,3.22,18.0,2139.9
Bond-121,Ugvyvgvrf,BJ,2.35,18.0,1413.0
Bond-122,Ugvyvgvrf,BJ,4.54,18.0,1297.3
Bond-123,Ugvyvgvrf,BJ,5.09,18.0,1320.0
Bond-124,Ugvyvgvrf,BJ,3.59,18.0,1211.5
Bond-125,Ugvyvgvrf,BJ,3.87,19.0,1690.7
Bond-126,Ovy_naq_Gnf,BZ,2.39,7.0,93.7
Bond-127,Ovy_naq_Gnf,BZ,6.03,7.0,126.5
Bond-128,Ovy_naq_Gnf,BZ,5.32,7.0,104.9
Bond-129,Tenafcbeg,BZ,2.01,11.0,824.5
Bond-130,Fvanapvny,BU,3.57,16.0,542.0
Bond-131,Ovy_naq_Gnf,BU,4.62,12.0,360.5
Bond-132,Ovy_naq_Gnf,BU,2.3,12.0,289.1
Bond-133,Ovy_naq_Gnf,BU,7.13,12.0,393.7
Bond-134,Sbirervta,BU,3.18,12.0,294.8
Bond-135,Sbirervta,BU,6.48,12.0,362.5
Bond-136,Sbirervta,BU,8.92,12.0,320.4
Bond-137,Sbirervta,AW,9.77,9.0,63.4
Bond-138,Sbirervta,AW,24.32,9.0,150.9
Bond-139,Fvanapvny,AE,3.34,15.0,441.0
Bond-140,Fvanapvny,AE,1.44,8.0,141.2
Bond-141,Fvanapvny,AE,1.1,14.0,318.4
Bond-142,Fvanapvny,AE,3.07,14.0,376.2
Bond-143,Ovy_naq_Gnf,AE,5.33,14.0,587.5
Bond-144,Ovy_naq_Gnf,AE,3.42,14.0,534.9
Bond-145,Ovy_naq_Gnf,AE,5.79,14.0,604.7
Bond-146,Sbirervta,AE,1.64,14.0,328.4
Bond-147,Sbirervta,AE,2.58,14.0,354.2
Bond-148,Sbirervta,AE,3.03,14.0,377.0
