date,esu0,vgu0,random
20200102,3238.375,3707,3459.6875
20200103,3214.625,3679,3438.8125
20200106,3222.875,3664,3453.4375
20200107,3214.625,3675,3422.8125
20200108,3239.875,3686,3477.9375
20200109,3255.625,3707,3465.3125
20200110,3244.375,3705,3479.6875
20200113,3269.625,3689,3482.3125
20200114,3267.625,3687,3451.3125
20200115,3273.625,3681,3452.3125
20200116,3296.375,3687,3477.6875
20200117,3304.875,3720,3526.4375
20200121,3299.625,3703,3507.3125
20200122,3299.875,3684,3480.9375
20200123,3306.125,3652,3472.0625
20200124,3273.375,3692,3472.6875
20200127,3219.125,3596,3418.5625
20200128,3258.125,3634,3469.0625
20200129,3252.125,3655,3437.5625
20200130,3269.375,3604,3453.6875
20200131,3202.875,3564,3412.4375
20200203,3224.875,3579,3396.9375
20200204,3279.125,3647,3456.0625
20200205,3314.625,3695,3498.8125
20200206,3325.125,3724,3543.5625
20200207,3305.125,3718,3482.5625
20200210,3332.375,3714,3510.1875
20200211,3337.125,3750,3564.5625
20200212,3360.375,3772,3568.1875
20200213,3357.375,3761,3578.1875
20200214,3360.875,3762,3544.4375
20200218,3349.125,3754,3524.5625
20200219,3367.375,3784,3587.6875
20200220,3349.125,3760,3567.5625
20200221,3318.875,3719,3534.9375
20200224,3204.625,3570,3407.3125
20200225,3110.625,3496,3310.3125
20200226,3088.125,3499,3279.5625
20200227,2933.125,3382,3163.5625
20200228,2925.125,3239,3060.0625
20200302,3039.125,3264,3164.5625
20200303,2968.875,3279,3128.9375
20200304,3086.375,3336,3231.1875
20200305,2985.875,3292,3126.9375
20200306,2933.125,3158,3067.5625
20200309,2714.625,2900,2828.3125
20200310,2833.625,2839,2806.3125
20200311,2708.375,2819,2767.6875
20200312,2435.375,2492,2477.6875
20200313,2663.375,2476,2541.6875
20200316,2391.125,2345,2396.0625
20200317,2465.625,2418,2454.8125
20200324,2422.375,2609,2523.6875
20200325,2451.875,2697,2599.4375
20200326,2592.875,2745,2644.9375
20200327,2509.375,2627,2565.1875
20200330,2598.375,2687,2661.6875
20200331,2557.875,2720,2643.9375
20200401,2436.125,2604,2541.0625
20200402,2504.375,2618,2567.1875
20200403,2470.625,2606,2542.3125
20200406,2631.625,2742,2702.8125
20200407,2627.875,2796,2740.9375
20200408,2720.125,2783,2762.5625
20200409,2763.625,2828,2810.8125
20200414,2826.375,2858,2825.1875
20200415,2758.375,2742,2750.1875
20200416,2771.125,2759,2738.0625
20200417,2853.875,2816,2852.9375
20200420,2790.625,2840,2795.3125
20200421,2716.125,2729,2700.5625
20200422,2772.375,2773,2759.6875
20200423,2764.375,2797,2765.6875
20200424,2812.875,2746,2767.4375
20200427,2852.125,2815,2847.5625
20200428,2850.375,2867,2874.6875
20200429,2923.875,2939,2912.4375
20200430,2885.125,2860,2849.5625
20200504,2807.875,2759,2791.4375
20200505,2840.625,2825,2850.8125
20200506,2815.875,2793,2780.4375
20200507,2862.375,2834,2832.1875
20200508,2910.625,2864,2905.3125
20200511,2904.875,2840,2851.4375
20200512,2834.875,2845,2845.9375
20200513,2795.375,2764,2790.6875
20200514,2829.625,2709,2742.3125
20200515,2829.125,2726,2797.5625
20200518,2930.375,2877,2896.6875
20200519,2901.375,2868,2869.6875
20200520,2950.875,2908,2923.4375
20200521,2919.375,2865,2866.1875
20200522,2934.875,2870,2887.4375
20200526,2976.25,2967,2968.625
